t;water_root_shoot_xylem;AA_root_shoot_phloem;soil_temperature
408;1.44206332359313E-07;1.74920345680832E-08;8.04843392
409;1.44296042169803E-07;1.75020155898473E-08;8.04894968
410;1.44385807788146E-07;1.75120011078588E-08;8.049468
411;1.44475629249123E-07;1.75219911216656E-08;8.04998888
412;1.44565506587396E-07;1.75319856307906E-08;8.05051232
413;1.44655439837808E-07;1.7541984634771E-08;8.05103832
414;1.44745429035049E-07;1.7551988133115E-08;8.05156688
415;2.65504761603277E-06;3.21937261561224E-07;8.052098
416;5.32714712735657E-06;6.45908597770442E-07;8.05263168
417;7.50246014206045E-06;9.09614727902763E-07;8.05316792
418;9.18005641563527E-06;1.11295221832367E-06;8.05370672
419;0.0000103590045449019;1.25581754241686E-06;8.05424808
420;0.0000110383719667838;1.33810708059837E-06;8.054792
421;0.0000112172249571215;1.35971712033636E-06;8.05533848
422;0.0000108946286294579;1.32054385616789E-06;8.05588752
423;0.0000100696469338401;1.22048338971808E-06;8.05643912
424;8.74134265560789E-06;1.05943172971816E-06;8.05699328
425;6.90877741418813E-06;8.37284792024785E-07;8.05755
426;4.57101166188281E-06;5.53938399638956E-07;8.05810928
427;1.45920395631532E-07;1.76824423690257E-08;8.05867112
428;1.46011171749483E-07;1.76925087344795E-08;8.05923552
429;1.46102004338629E-07;1.77025795863079E-08;8.05980248
430;1.46192893434212E-07;1.77126549239388E-08;8.060372
431;1.46283839071226E-07;1.77227347467589E-08;8.06094408
432;1.46374841284944E-07;1.7732819054181E-08;8.06151872
433;1.46465900110576E-07;1.77429078455997E-08;8.06209592
434;1.4655701558324E-07;1.77530011203893E-08;8.06267568
435;1.46648187738329E-07;1.77630988779483E-08;8.063258
436;1.46739416610901E-07;1.77732011176238E-08;8.06384288
437;1.46830702236442E-07;1.7783307838807E-08;8.06443032
438;1.46922044650129E-07;1.77934190408407E-08;8.06502032
439;0.000002694973008761;3.26365019895845E-07;8.06561288
440;5.40725433142215E-06;6.54790986198122E-07;8.066208
441;7.61527870914907E-06;9.22121986503983E-07;8.06680568
442;9.31810190885001E-06;1.12825347266978E-06;8.06740592
443;0.0000105147785213203;1.27308080385205E-06;8.06800872
444;0.0000112043619600287;1.35649924653129E-06;8.06861408
445;0.0000113859044599026;1.37840397453599E-06;8.069222
446;0.000011058457076087;1.33869006906393E-06;8.06983248
447;0.0000102210696827348;1.23725251870788E-06;8.07044552
448;8.87279097178392E-06;1.07398621948023E-06;8.07106112
449;0.0000070126684517209;8.4878597483634E-07;8.07167928
450;4.63974844636143E-06;5.61546495700595E-07;8.0723
451;1.48114679857355E-07;1.79252721207842E-08;8.07292328
452;1.48206821025046E-07;1.79354459835692E-08;8.07354912
453;1.4829901951322E-07;1.79456243167618E-08;8.07417752
454;1.48391275357423E-07;1.79558071195939E-08;8.07480848
455;1.48483588593415E-07;1.79659943913146E-08;8.075442
456;1.48575959256804E-07;1.79761861311434E-08;8.07607808
457;1.48668387383409E-07;1.79863823383166E-08;8.07671672
458;1.48760873008961E-07;1.79965830120497E-08;8.07735792
459;1.4885341616925E-07;1.80067881515548E-08;8.07800168
460;1.48946016899914E-07;1.80169977560155E-08;8.078648
461;1.49038675236986E-07;1.80272118246549E-08;8.07929688
462;1.49131391216136E-07;1.80374303566399E-08;8.07994832
463;2.73549878129972E-06;3.30840073987607E-07;8.08060232
464;5.48856615101296E-06;6.63768196865409E-07;8.08125888
465;7.72979379029631E-06;9.34762684535981E-07;8.081918
466;9.45822326710339E-06;1.14371787815418E-06;8.08257968
467;0.0000106728949556092;1.29052802654481E-06;8.08324392
468;0.000011372848034936;1.37508728622698E-06;8.08391072
469;0.0000115571204879654;1.39728972144978E-06;8.08458008
470;0.0000112247491000239;1.35702930421266E-06;8.085252
471;0.0000103747694577323;1.25419991430691E-06;8.08592648
