t;sucrose_input_rate
589;1.7744413050471E-09
590;1.72771334855609E-09
591;1.60085350263971E-09
592;1.39312039947587E-09
593;1.10377351310837E-09
594;7.32073164480163E-10
595;2.34270015760207E-11
596;2.3498521274494E-11
597;2.35699997675169E-11
598;2.36414369091689E-11
599;2.37128325535374E-11
600;2.37841865547174E-11
601;2.38554987668125E-11
602;2.39267690439344E-11
603;2.39979972402035E-11
604;2.40691832097489E-11
605;2.4140326806709E-11
606;2.42114278852314E-11
607;4.4513374717505E-10
608;8.95181456690957E-10
609;1.26361218509856E-09
610;1.54968971128162E-09
611;1.75267869825447E-09
612;1.87184469819086E-09
613;1.9064541574523E-09
614;1.85577442161579E-09
615;1.71907374050104E-09
616;1.49562127319701E-09
617;1.18468709308793E-09
618;7.85542192878676E-10
619;2.51318063836894E-11
620;2.52022968953386E-11
621;2.52727427020381E-11
622;2.53431436581163E-11
623;2.54134996179146E-11
624;2.54838104357884E-11
625;2.55540759661066E-11
626;2.56242960632524E-11
627;2.56944705816231E-11
628;2.57645993756309E-11
629;2.58346822997026E-11
630;2.590471920828E-11
631;4.76154699803964E-10
632;9.57344522944764E-10
633;1.35104919178463E-09
634;1.65654344654113E-09
635;1.87310298391507E-09
636;2.00000446210852E-09
637;2.03652550584201E-09
638;1.98194471137088E-09
639;1.83554165150069E-09
640;1.59659688060179E-09
641;1.26439193962295E-09
642;8.38209361104016E-10
643;2.68109454099156E-11
644;2.68803228270296E-11
645;2.69496520472621E-11
646;2.70189329253314E-11
647;2.70881653159753E-11
648;2.71573490739513E-11
649;2.7226484054037E-11
650;2.72955701110302E-11
651;2.73646070997495E-11
652;2.74335948750342E-11
653;2.75025332917447E-11
654;2.7571422204763E-11
655;5.06686712754692E-10
656;1.01852409898191E-09
657;1.43709763088662E-09
658;1.76169387742162E-09
659;1.99160043618801E-09
660;2.12610593843737E-09
661;2.16450005407263E-09
662;2.10607349664791E-09
663;1.950118028367E-09
664;1.6959264650807E-09
665;1.34279268128283E-09
666;8.90011615104989E-10
667;2.84624072499572E-11
668;2.85305878865364E-11
669;2.85987168454111E-11
670;2.86667939818442E-11
671;2.87348191511244E-11
672;2.88027922085674E-11
673;2.88707130095153E-11
674;2.89385814093376E-11
675;2.90063972634312E-11
676;2.90741604272205E-11
677;2.91418707561582E-11
678;2.92095281057251E-11
679;5.36692967124719E-10
680;1.07864636620208E-09
681;1.52165361889972E-09
682;1.8650139876934E-09
683;2.10802783560855E-09
684;2.24999663120094E-09
685;2.29022295353577E-09
686;2.22801049716528E-09
687;2.06266407710478E-09
688;1.79348963380693E-09
689;1.41979423813461E-09
690;9.4088609633193E-10
691;3.00841868245508E-11
692;3.01510873049946E-11
693;3.02179326418849E-11
694;3.02847226911971E-11
695;3.03514573089402E-11
696;3.0418136351157E-11
697;3.04847596739246E-11
698;3.05513271333546E-11
699;3.06178385855932E-11
700;3.06842938868222E-11
701;3.07506928932585E-11
702;3.08170354611549E-11
703;5.66136779870199E-10
704;1.13763778182953E-09
705;1.60461366534207E-09
706;1.96637724763396E-09
707;2.22224251803561E-09
708;2.37152464293489E-09
709;2.41353997072837E-09
710;2.34760603677064E-09
711;2.17304156832163E-09
712;1.88916648949188E-09
713;1.49530192618588E-09
714;9.9077021104324E-10
715;3.16742875989213E-11
716;3.1739824954641E-11
717;3.1805303720134E-11
718;3.1870723752271E-11
719;3.19360849079643E-11
720;3.20013870441678E-11
721;3.20666300178778E-11
722;3.2131813686133E-11
723;3.21969379060149E-11
724;3.22620025346484E-11
725;3.23270074292017E-11
726;3.23919524468872E-11
727;5.94981646242734E-10
728;1.19542516430322E-09
729;1.68587479335742E-09
730;2.06565776201902E-09
731;2.33410254212381E-09
732;2.49053885364887E-09
733;2.53429766962937E-09
734;2.46471122107298E-09
735;2.28111300187194E-09
736;1.98283777371252E-09
737;1.56922157098227E-09
738;1.03960170567453E-09
739;3.32307239955074E-11
740;3.32948157697632E-11
741;3.33588455308458E-11
742;3.34228131367185E-11
743;3.34867184453949E-11
744;3.35505613149386E-11
745;3.36143416034641E-11
746;3.36780591691373E-11
747;3.37417138701753E-11
748;3.38053055648472E-11
749;3.38688341114744E-11
750;3.3932299368431E-11
751;6.2319128584131E-10
752;1.25193578592637E-09
753;1.76533467054959E-09
754;2.16273043064319E-09
755;2.44346687094523E-09
756;2.60688911487768E-09
757;2.6523436094217E-09
758;2.57917812999008E-09
759;2.3867417852968E-09
760;2.07438502222368E-09
761;1.64145963068413E-09
762;1.08731874848386E-09
763;3.47515240071804E-11
764;3.48140883684069E-11
765;3.487658732215E-11
766;3.49390207276781E-11
767;3.50013884443189E-11
768;3.50636903314597E-11
769;3.51259262485479E-11
770;3.51880960550911E-11
771;3.52501996106579E-11
772;3.53122367748781E-11
773;3.5374207407443E-11
774;3.5436111368106E-11
775;6.50729692395667E-10
776;1.30709747300713E-09
777;1.84289175037309E-09
778;2.25747112176451E-09
779;2.55019556820281E-09
780;2.72042645928942E-09
781;2.76752655803183E-09
782;2.69086002566644E-09
783;2.48979242647799E-09
784;2.16369073261555E-09
785;1.71192332890514E-09
786;1.13386001765888E-09
787;3.6234732016843E-11
788;3.62956878806875E-11
789;3.63565749766513E-11
790;3.6417393165536E-11
791;3.64781423082121E-11
792;3.65388222656198E-11
793;3.6599432898769E-11
794;3.665997406874E-11
795;3.67204456366838E-11
796;3.67808474638228E-11
797;3.68411794114507E-11
798;3.69014413409335E-11
799;6.77561187380221E-10
800;1.36083871368766E-09
801;1.91844542435545E-09
802;2.34975685880695E-09
803;2.6541500094092E-09
804;2.83100332624557E-09
805;2.87969672188459E-09
806;2.799611576145E-09
807;2.59013074085676E-09
808;2.25063854461821E-09
809;1.78052079754931E-09
810;1.17916479604074E-09
811;3.76784118283093E-11
812;3.77376789885635E-11
813;3.77968740601036E-11
814;3.78559969055078E-11
815;3.79150473874339E-11
816;3.79740253686196E-11
817;3.80329307118831E-11
818;3.80917632801237E-11
819;3.81505229363218E-11
820;3.82092095435397E-11
821;3.8267822964922E-11
822;3.8326363063696E-11
823;7.0365047753862E-10
824;1.41308877362059E-09
825;1.99189618537233E-09
826;2.4394660205888E-09
827;2.75519310832989E-09
828;2.9384738036277E-09
829;2.98870599218937E-09
830;2.90528909509552E-09
831;2.68762407349426E-09
832;2.33511343329058E-09
833;1.84716122983141E-09
834;1.22317307258585E-09
835;3.9080649912276E-11
836;3.91381491808361E-11
837;3.91955730854414E-11
838;3.92529214907061E-11
839;3.93101942613354E-11
840;3.93673912621254E-11
841;3.94245123579642E-11
842;3.94815574138318E-11
843;3.95385262948009E-11
844;3.95954188660373E-11
845;3.96522349928004E-11
846;3.97089745404437E-11
847;7.2896271637809E-10
848;1.46377781960949E-09
849;2.06314580213749E-09
850;2.5264785552713E-09
851;2.85318955890629E-09
852;3.04269388615664E-09
853;3.09440820798296E-09
854;3.00775079781492E-09
855;2.78214153616877E-09
856;2.41700191525985E-09
857;1.91175504360984E-09
858;1.26582565064896E-09
859;4.04395588700015E-11
860;4.04952122259368E-11
861;4.05507869946785E-11
862;4.06062830431526E-11
863;4.06617002383873E-11
864;4.0717038447514E-11
865;4.07722975377678E-11
866;4.08274773764874E-11
867;4.08825778311166E-11
868;4.09375987692038E-11
869;4.09925400584032E-11
870;4.10474015664751E-11
871;7.53463569669783E-10
872;1.5128370512841E-09
873;2.1320975050039E-09
874;2.61067620814244E-09
875;2.94800609278426E-09
876;3.14352175033349E-09
877;3.19665943605645E-09
878;3.10685707361862E-09
879;2.87355425961592E-09
880;2.49619226810025E-09
881;1.97421405509929E-09
882;1.30706426313042E-09
883;4.17532811160001E-11
884;4.18070118637549E-11
885;4.18606608598693E-11
886;4.19142279738717E-11
887;4.19677130754056E-11
888;4.20211160342299E-11
889;4.20744367202197E-11
890;4.21276750033664E-11
891;4.21808307537789E-11
892;4.22339038416836E-11
893;4.22868941374251E-11
894;4.23398015114667E-11
895;7.77119284966376E-10
896;1.56019884083061E-09
897;2.19865618310172E-09
898;2.69194276326312E-09
899;3.03951175247469E-09
900;3.24081804602638E-09
901;3.29531826778545E-09
902;3.2024707746375E-09
903;2.96173566092101E-09
904;2.57257476285557E-09
905;2.0344516629637E-09
906;1.34683169448606E-09
907;4.30199927796405E-11
908;4.30717257163329E-11
909;4.31233738028967E-11
910;4.31749369117697E-11
911;4.32264149155177E-11
912;4.32778076868353E-11
913;4.33291150985463E-11
914;4.33803370236041E-11
915;4.34314733350927E-11
916;4.34825239062269E-11
917;4.3533488610353E-11
918;4.35843673209493E-11
919;7.99896765121061E-10
920;1.6057968807429E-09
921;2.26272859276173E-09
922;2.77016429890902E-09
923;3.12757818006617E-09
924;3.3344462046127E-09
925;3.39024613276722E-09
926;3.29445752092159E-09
927;3.04656172596786E-09
928;2.64604190961823E-09
929;2.09238304271778E-09
930;1.38507190955011E-09
931;4.4237907824002E-11
932;4.42875694157148E-11
933;4.43371431323078E-11
934;4.43866288494503E-11
935;4.4436026442953E-11
936;4.44853357887694E-11
937;4.45345567629959E-11
938;4.45836892418726E-11
939;4.46327331017837E-11
940;4.46816882192583E-11
941;4.47305544709706E-11
942;4.47793317337412E-11
943;8.21763645762856E-10
944;1.64956633950172E-09
945;2.3242235770899E-09
946;2.84522945663932E-09
947;3.21207992129451E-09
948;3.42427276346379E-09
949;3.48130762904278E-09
950;3.38268602163015E-09
951;3.12791130673558E-09
952;2.71648871597991E-09
953;2.14792535128739E-09
954;1.42173018907004E-09
955;4.54052823786869E-11
956;4.54528009455766E-11
957;4.55002286937531E-11
958;4.55475655024537E-11
959;4.5594811251072E-11
960;4.56419658191584E-11
961;4.56890290864208E-11
962;4.57360009327249E-11
963;4.57828812380952E-11
964;4.58296698827156E-11
965;4.58763667469296E-11
966;4.59229717112414E-11
967;8.42688376651777E-10
968;1.69144402502598E-09
969;2.38305229646954E-09
970;2.91702972371444E-09
971;3.29289474465028E-09
972;3.51016770642675E-09
973;3.56837086954765E-09
974;3.46702841195641E-09
975;3.20566643311313E-09
976;2.78381295806286E-09
977;2.20099794149544E-09
978;1.45675327179651E-09
979;4.65204192815196E-11
980;4.65657251914907E-11
981;4.66109374288039E-11
982;4.66560558766161E-11
983;4.67010804182552E-11
984;4.67460109372208E-11
985;4.6790847317185E-11
986;4.68355894419931E-11
987;4.68802371956639E-11
988;4.69247904623904E-11
989;4.69692491265408E-11
990;4.70136130726586E-11
991;8.62640306803845E-10
992;1.73136855567235E-09
993;2.43912846967249E-09
994;2.98545972846798E-09
995;3.36990397507375E-09
996;3.59200481981743E-09
997;3.65130784429145E-09
998;3.54736060529604E-09
999;3.27971263877279E-09
1000;2.84791546372873E-09
1001;2.25152258615123E-09
1002;1.49008950291315E-09
1003;4.75816728221696E-11
1004;4.76246986927828E-11
1005;4.7667628135028E-11
1006;4.7710461036346E-11
1007;4.77531972843645E-11
1008;4.77958367668983E-11
1009;4.78383793719501E-11
1010;4.78808249877113E-11
1011;4.79231735025625E-11
1012;4.79654248050742E-11
1013;4.80075787840073E-11
1014;4.80496353283142E-11
1015;8.81589773240243E-10
1016;1.76928053848825E-09
1017;2.49236862515947E-09
1018;3.05041754811433E-09
1019;3.44299284164616E-09
1020;3.66966206328883E-09
1021;3.72999479761425E-09
1022;3.62356266001986E-09
1023;3.34993930050588E-09
1024;2.90870040744242E-09
1025;2.29942371132629E-09
1026;1.52168898852756E-09
1027;4.85874536787364E-11
1028;4.86281345869312E-11
1029;4.86687164181831E-11
1030;4.87091990645945E-11
1031;4.87495824184704E-11
1032;4.87898663723193E-11
1033;4.88300508188534E-11
1034;4.88701356509897E-11
1035;4.89101207618504E-11
1036;4.89500060447638E-11
1037;4.89897913932647E-11
1038;4.90294767010953E-11
1039;8.99508193177156E-10
1040;1.80512275434691E-09
1041;2.5426923620426E-09
1042;3.11180502834183E-09
1043;3.512050838538E-09
1044;3.74302195478088E-09
1045;3.80431261970627E-09
1046;3.69551916005471E-09
1047;3.41623999027925E-09
1048;2.96607561614204E-09
1049;0.0000000023446286383
1050;1.55150375587917E-09
1051;4.95362340362154E-11
1052;4.95745077353381E-11
1053;4.96126798252711E-11
1054;4.96507502031673E-11
1055;4.96887187663987E-11
1056;4.9726585412557E-11
1057;4.97643500394546E-11
1058;4.98020125451247E-11
1059;4.98395728278224E-11
1060;4.98770307860255E-11
1061;4.99143863184347E-11
1062;4.99516393239749E-11
1063;9.16368159433022E-10
1064;1.83884034951351E-09
1065;2.59002262007049E-09
1066;3.1695281139034E-09
1067;3.57697209831888E-09
