t;cytokinins_root_shoot_xylem;AA_root_shoot_phloem;water_root_shoot_xylem
1567;0.02296993;0.00000307274138;0.00000016609
1568;0.02632727;0.00000258036002;0.00000018906
1569;0.02963278;0.00000217963323;0.00000021139
1570;0.03615697;0.00000192449753;0.00000025629
1571;0.03396512;0.00000179033562;0.00000023931
1572;0.03806628;0.00000170414212;0.0000002666
1573;0.04383024;0.00000165372347;0.00000030521
1574;0.03533265;0.00000159736573;0.00000024471
1575;0.03361806;0.00000155628171;0.0000002315
1576;0.03589187;0.00000151473658;0.00000024575
1577;0.02917501;0.00000148600586;0.00000019864
1578;0.03463805;0.00000146699826;0.00000023445
1579;0.03539211;0.00000134199604;0.00000023822
1580;0.0832944;0.00000136899957;0.00000055754
1581;0.10295167;0.00000182658441;0.00000068666
1582;0.13276429;0.00000243453016;0.00000088305
1583;0.18166306;0.00000319104572;0.00000120642
1584;0.15259573;0.00000372469152;0.00000101381
1585;0.11210166;0.00000391307493;0.00000074425
1586;0.09616131;0.00000398116408;0.00000063694
1587;0.0474612;0.0000038127624;0.00000031345
1588;0.0308681;0.00000353922092;0.00000020288
1589;0.02001919;0.00000306440906;0.00000013087
1590;0.00847064;0.0000025508839;0.00000005506
1591;0.0261383;0.00000216798328;0.00000016885
1592;0.03195845;0.00000182523567;0.00000020535
1593;0.04182277;0.00000156981267;0.00000026738
1594;0.04814311;0.00000139821306;0.00000030639
1595;0.05042276;0.00000129349535;0.00000031953
1596;0.04871816;0.00000120806263;0.00000030747
1597;0.04578132;0.00000115796755;0.00000028776
1598;0.03970892;0.0000010974996;0.00000024855
1599;0.0297916;0.00000105644666;0.00000018567
1600;0.0443759;0.00000107592509;0.00000027526
1601;0.03531555;0.00000106618484;0.00000021816
1602;0.02508575;0.00000106876574;0.00000015428
1603;0.05194799;0.00000107965855;0.00000031797
1604;0.17763735;0.00000136845561;0.00000108322
1605;0.32321823;0.00000231949646;0.00000197278
1606;0.64129928;0.00000410043739;0.00000393898
1607;0.6793744;0.00000619484498;0.00000424984
1608;0.69130083;0.00000805980896;0.00000441244
1609;0.76651468;0.00001037987488;0.00000499678
1610;0.49303525;0.00001136833912;0.00000329418
1611;0.18679208;0.00001046887464;0.00000126581
1612;0.33462146;0.00001097631019;0.00000227171
1613;0.28039183;0.00001010345304;0.00000191873
1614;0.07122642;0.00000803667089;0.00000049025
1615;0.06836654;0.00000629775334;0.00000046928
1616;0.06463371;0.00000493945235;0.00000044242
1617;0.06510286;0.0000039783485;0.00000044435
1618;0.06375213;0.00000328207277;0.00000043393
1619;0.05494476;0.00000273968519;0.00000037296
1620;0.04695174;0.00000231598805;0.00000031776
1621;0.04655163;0.0000020299524;0.00000031403
1622;0.04992728;0.00000177604693;0.00000033574
1623;0.03617656;0.00000156627565;0.00000024254
1624;0.04391035;0.00000145171038;0.00000029336
1625;0.04019588;0.00000134837283;0.00000026768
1626;0.03671866;0.00000128165927;0.0000002437
1627;0.03811701;0.00000126524389;0.00000025209
1628;0.1665838;0.00000175659755;0.00000109785
1629;0.43918539;0.00000373459337;0.00000289884
1630;0.65458174;0.00000653121949;0.00000437456
1631;0.78962489;0.00000953418235;0.00000539122
1632;0.94707162;0.00001288744144;0.00000664725
1633;1.08546335;0.00001609631772;0.00000789276
1634;0.94856354;0.00001819200791;0.00000720089
1635;0.65281398;0.00001821111684;0.00000515079
1636;0.45717247;0.00001703610851;0.00000370123
1637;0.14714954;0.00001327985362;0.00000121143
1638;0.05753139;0.00000961232234;0.00000047437
1639;0.0428319;0.00000704076868;0.00000035216
1640;0.03815156;0.00000526578258;0.00000031256
1641;0.04480299;0.00000408608337;0.00000036568
1642;0.04959838;0.00000322285618;0.00000040344
1643;0.04514692;0.0000025829786;0.00000036607
1644;0.02288614;0.00000207506209;0.00000018494
1645;0.01502219;0.00000176383237;0.00000012085
1646;0.01192002;0.00000155537565;0.00000009543
1647;0.01020064;0.00000141009826;0.00000008126
1648;0.00918059;0.00000134205802;0.00000007276
1649;0.00808796;0.00000129443975;0.00000006377
1650;0.00831329;0.0000012542898;0.0000000652
1651;0.00683612;0.00000123461813;0.00000005333
1652;0.01878335;0.00000141170762;0.00000014573
1653;0.04097491;0.00000213015719;0.00000031631
1654;0.11628727;0.00000362288638;0.00000089408
1655;0.18357671;0.0000054042603;0.00000141057
1656;0.1559833;0.00000669830817;0.00000120152
1657;0.21097041;0.00000805401015;0.00000162703
1658;0.19453904;0.00000857945445;0.00000150597
1659;0.10646001;0.00000812797368;0.00000082664
1660;0.04106163;0.00000664018349;0.00000031851
1661;0.01925436;0.00000508874094;0.00000014875
1662;0.0078103;0.00000366292371;0.00000006004
1663;0.00754479;0.00000278995411;0.00000005768
1664;0.01293644;0.00000218649505;0.00000009837
1665;0.02216081;0.00000176060273;0.00000016765
1666;0.02213483;0.00000146321023;0.00000016668
1667;0.02394896;0.00000124956678;0.00000017951
1668;0.01529157;0.00000108598307;0.00000011411
1669;0.01110589;0.00000096857814;0.00000008248
1670;0.00692284;0.00000089410992;0.00000005116
1671;0.00687279;0.00000086437318;0.00000005054
1672;0.00570988;0.00000084986412;0.00000004177
1673;0.00563143;0.00000084542483;0.00000004099
1674;0.00566794;0.00000085808388;0.00000004104
1675;0.01017984;0.00000088341289;0.00000007331
1676;0.13785203;0.0000018894425;0.0000009877
1677;0.39436983;0.00000372231315;0.00000282639
1678;0.93479672;0.00000747026979;0.00000677584
1679;1.0084104;0.00001128007269;0.00000757411
1680;1.3327463;0.00001579940908;0.00001042288
1681;1.38185523;0.00001964308779;0.00001145527
1682;1.14603511;0.00002106710104;0.0000101354
1683;0.85028094;0.00002093350327;0.00000795368
1684;0.5455571;0.00001857773686;0.00000532313
1685;0.20149053;0.00001344694267;0.00000201719
1686;0.04570369;0.00000852703489;0.00000046004
1687;0.03382381;0.00000539048054;0.0000003391
1688;0.03215304;0.00000354704378;0.00000032084
1689;0.03414448;0.00000251466558;0.00000033907
1690;0.03023576;0.00000188481722;0.00000029885
1691;0.02877306;0.00000148683777;0.000000283
1692;0.03357223;0.00000120702599;0.00000032855
1693;0.03495528;0.00000103937928;0.00000034049
1694;0.02667092;0.00000090525983;0.0000002586
1695;0.02537781;0.00000084260026;0.00000024482
1696;0.02409031;0.00000081031641;0.0000002312
1697;0.01985198;0.00000079817654;0.00000018952
1698;0.01700251;0.00000080694675;0.0000001614
1699;0.01317219;0.00000083351637;0.0000001243
1700;0.05519506;0.00000164397081;0.00000051759
1701;0.0520523;0.00000256377555;0.00000048615
1702;0.09517826;0.00000380466568;0.00000088507
1703;0.1786088;0.00000534382762;0.00000165754
1704;0.33317316;0.00000732648608;0.0000030999
1705;0.57006482;0.00000980796796;0.0000053642
1706;0.7362143;0.00001236826662;0.00000710401
1707;0.61892605;0.00001298033569;0.00000619037
1708;0.34180921;0.00001189329021;0.0000035232
1709;0.14904539;0.00000942754695;0.00000155738
1710;0.02378619;0.00000600294291;0.00000024896
1711;0.0180592;0.00000380808308;0.00000018786
1712;0.01704767;0.00000255416851;0.00000017619
1713;0.0174149;0.00000181216234;0.00000017882
1714;0.01901015;0.00000134226896;0.00000019393
1715;0.01744077;0.0000010523529;0.00000017678
1716;0.01955587;0.00000089127718;0.00000019693
1717;0.02107576;0.00000079337574;0.00000021087
1718;0.01944976;0.00000081644288;0.00000019337
1719;0.0200112;0.00000075972469;0.00000019766
1720;0.01847488;0.00000073776066;0.00000018129
1721;0.01862755;0.00000074588683;0.00000018155
1722;0.015334;0.00000076589517;0.00000014841
1723;0.01795796;0.00000078868835;0.00000017255
1724;0.04546504;0.00000144101326;0.00000043367
1725;0.17124202;0.0000031067265;0.00000162386
1726;0.75861357;0.00000702118508;0.00000720217
1727;0.79906321;0.00001004949934;0.00000785834
1728;1.08296656;0.00001378090321;0.00001107455
1729;0.81016929;0.0000144812658;0.00000878977
1730;0.23504083;0.00001132490626;0.00000266545
1731;0.0546999;0.0000071618755;0.00000062414
1732;0.03408592;0.00000453199996;0.0000003865
1733;0.03402112;0.00000351020005;0.00000038283
1734;0.01324432;0.00000250920505;0.0000001479
1735;0.01117893;0.00000177212519;0.00000012372
1736;0.00930233;0.00000135095804;0.00000010201
1737;0.00921641;0.00000112806842;0.00000010014
1738;0.0087013;0.00000099650904;0.00000009368
1739;0.00867628;0.00000093612776;0.00000009255
1740;0.0163884;0.00000089742757;0.00000017323
1741;0.01768885;0.00000086774312;0.00000018538
1742;0.01909038;0.00000085605981;0.00000019838
1743;0.01676766;0.00000086062795;0.00000017278
1744;0.01415852;0.00000086666927;0.00000014464
1745;0.01260918;0.00000088465305;0.00000012768
1746;0.01123775;0.00000090936711;0.00000011276
1747;0.01519528;0.00000094659949;0.00000015106
1748;0.12926886;0.00000245144663;0.00000127334
1749;0.4158008;0.00000512180499;0.00000408515
1750;0.58488018;0.0000077706718;0.00000582898
1751;0.74486537;0.00001038183259;0.00000760952
1752;0.65138278;0.00001162024775;0.00000689554
1753;0.83681274;0.00001258341349;0.0000091364
1754;0.61981854;0.00001246526278;0.00000707695
1755;0.75551922;0.00001283397918;0.00000890322
1756;0.48462082;0.00001141869603;0.00000596122
1757;0.1894864;0.00000787991258;0.00000238829
1758;0.0643866;0.00000432511016;0.00000081339
1759;0.0475462;0.00000255087859;0.00000059625
1760;0.04978479;0.00000172055182;0.0000006189
1761;0.04542375;0.00000133034932;0.00000055983
1762;0.03735098;0.00000112671353;0.00000045618
1763;0.03115007;0.00000104364325;0.00000037675
1764;0.04545218;0.0000010221506;0.0000005441
1765;0.03333183;0.00000098672204;0.00000039528
1766;0.02832795;0.00000098432555;0.00000033247
1767;0.02437221;0.00000098595432;0.00000028295
1768;0.01710779;0.0000010009118;0.00000019638
1769;0.01553562;0.00000101555079;0.00000017621
1770;0.01379233;0.00000101205249;0.00000015453
1771;0.01209312;0.00000104170321;0.0000001338
1772;0.02427412;0.00000115404991;0.00000026514
1773;0.05467295;0.00000199402878;0.00000058987
1774;0.13368061;0.00000337227224;0.0000014271
1775;0.14644875;0.00000416449653;0.00000155445
1776;0.11672862;0.0000042528167;0.00000123264
1777;0.11173133;0.00000438277338;0.00000117142
1778;0.13193388;0.00000445714029;0.00000137276
1779;0.07501035;0.00000381743968;0.00000077551
1780;0.06768454;0.00000316676632;0.00000069284
1781;0.03594265;0.00000233541502;0.00000036411
1782;0.03350793;0.00000168761501;0.00000033531
1783;0.02730919;0.00000129432112;0.00000026993
1784;0.02810695;0.00000114491414;0.00000027432
1785;0.02488072;0.0000010152451;0.00000023981
1786;0.03892129;0.00000095801321;0.00000037041
1787;0.04519155;0.0000009157046;0.00000042501
1788;0.03150246;0.00000089208611;0.00000029288
1789;0.02477377;0.00000088529168;0.00000022751
1790;0.01862697;0.00000088531798;0.0000001689
1791;0.01567607;0.00000086584074;0.0000001403
1792;0.01925074;0.00000088091951;0.00000017003
1793;0.01641675;0.00000088706807;0.00000014311
1794;0.01680754;0.00000087413866;0.00000014458
1795;0.0207752;0.00000088798669;0.00000017634
1796;0.07204762;0.00000126696477;0.00000060353
1797;0.12961615;0.00000195580348;0.00000107424
1798;0.25117456;0.00000303813756;0.00000206532
1799;0.84433891;0.00000585324779;0.00000692863
1800;0.60299145;0.00000721548828;0.00000508635
1801;0.30290869;0.00000675409192;0.00000259583
1802;0.19705399;0.00000585880936;0.0000016894
1803;0.20812001;0.00000551080463;0.00000177516
1804;0.15425018;0.00000488320387;0.00000130963
1805;0.15110538;0.0000042630963;0.00000127353
1806;0.04538364;0.00000315494002;0.00000037965
1807;0.0450862;0.00000239844933;0.0000003724
1808;0.04931359;0.00000195767576;0.00000040223
1809;0.06209391;0.00000160865852;0.00000050035
1810;0.06106645;0.00000142785824;0.00000048653
1811;0.05191528;0.0000014107557;0.00000040905
1812;0.03504177;0.00000136751366;0.000000273
1813;0.02746552;0.00000133152115;0.00000021146
1814;0.03227257;0.00000130056864;0.00000024553
1815;0.04209506;0.00000123745279;0.0000003166
1816;0.09000533;0.00000119600365;0.00000066965
1817;0.06162699;0.00000117100148;0.00000045461
1818;0.06237795;0.00000116298497;0.00000045574
1819;0.06682989;0.00000115336417;0.00000048373
1820;0.17004979;0.00000132324772;0.00000121989
1821;0.4373221;0.00000202103979;0.00000312368
1822;0.57273597;0.0000031459937;0.00000412106
1823;0.63206219;0.00000458866272;0.00000460978
1824;0.27837119;0.00000529216517;0.00000206406
1825;0.26569222;0.00000562805212;0.00000197213
1826;0.73185104;0.00000713321116;0.00000543578
1827;0.76305629;0.00000839783204;0.00000579322
1828;0.33902315;0.00000838861025;0.0000026367
1829;0.1763746;0.00000730803268;0.00000137828
1830;0.08848374;0.00000580917293;0.00000068955
1831;0.05525597;0.00000451785344;0.00000042772
1832;0.03754859;0.00000359232242;0.00000028832
1833;0.04112504;0.00000297748255;0.00000031305
1834;0.0472892;0.00000251130612;0.00000035699
1835;0.04743095;0.00000217378995;0.00000035527
1836;0.03980699;0.00000191230369;0.00000029591
1837;0.0337806;0.00000172270605;0.00000024917
1838;0.02850004;0.00000158583524;0.00000020858
1839;0.02540922;0.00000145264645;0.00000018449
1840;0.02583925;0.00000134773606;0.00000018614
1841;0.0328391;0.0000012627521;0.00000023474
1842;0.03291746;0.00000119122181;0.00000023358
1843;0.03679855;0.00000114018386;0.00000025923
1844;0.15758276;0.00000136737996;0.00000110233
1845;0.20391643;0.00000185699319;0.00000142382
1846;0.55884799;0.00000306725489;0.00000390273
1847;0.72934698;0.00000475794043;0.00000517189
1848;1.06672863;0.00000698786985;0.00000774087
1849;1.24453271;0.00000951873492;0.00000938996
1850;0.61461704;0.00000996064184;0.00000487099
1851;0.20118455;0.00000884841345;0.00000162782
1852;0.24919489;0.00000842909388;0.0000020179
1853;0.20140308;0.00000756550426;0.00000163601
1854;0.06164769;0.00000604321093;0.00000050119
1855;0.02555637;0.000004667953;0.00000020654
1856;0.02308819;0.00000363960998;0.00000018518
1857;0.02024862;0.00000286226987;0.00000016117
1858;0.02591213;0.00000230197884;0.00000020466
1859;0.02559945;0.00000189323893;0.00000020071
1860;0.02885554;0.00000159297567;0.0000002246
1861;0.02331683;0.00000140185081;0.00000018021
1862;0.02135256;0.00000126974269;0.00000016384
1863;0.02139625;0.00000112137195;0.00000016298
1864;0.02157911;0.00000104829354;0.00000016319
1865;0.02431689;0.000000989502;0.00000018258
1866;0.02119524;0.00000093730591;0.00000015803
1867;0.02726101;0.00000090724899;0.00000020181
1868;0.07378543;0.00000111508822;0.00000054254
1869;0.47085652;0.00000217382572;0.00000344609
1870;0.93799667;0.00000405711138;0.00000695473
1871;0.71084598;0.0000057443822;0.00000545622
1872;0.70112132;0.00000703981113;0.00000551893
1873;0.35716338;0.00000709373232;0.0000028841
1874;0.26514467;0.00000715984659;0.000002161
1875;0.15396994;0.00000618456313;0.00000126105
1876;0.12472232;0.00000549078059;0.000001021
1877;0.08771897;0.00000478495376;0.00000071673
1878;0.04704622;0.00000374896268;0.00000038299
1879;0.04049968;0.00000283306344;0.00000032786
1880;0.03701705;0.00000215122036;0.00000029792
1881;0.03389647;0.00000167418297;0.00000027118
1882;0.03966516;0.00000134977216;0.00000031542
1883;0.03523131;0.000001080207;0.00000027857
1884;0.03047442;0.00000089736479;0.00000023955
1885;0.02294366;0.00000077926576;0.00000017927
1886;0.02140033;0.0000007042395;0.00000016617
1887;0.01889164;0.00000063965252;0.00000014576
1888;0.01916807;0.00000059689054;0.00000014694
1889;0.01677712;0.00000056381561;0.00000012779
1890;0.01690406;0.00000054251573;0.00000012791
1891;0.02206979;0.00000052704832;0.00000016591
1892;0.08948301;0.00000082147808;0.00000066845
1893;0.47113426;0.00000185302306;0.00000350781
1894;0.49043258;0.00000303845197;0.00000370253
1895;0.89872557;0.00000457682878;0.00000688743
1896;1.18299181;0.00000639074427;0.00000938518
1897;1.28101489;0.00000819829218;0.00001068712
1898;0.7450784;0.00000848012865;0.00000659079
1899;0.36073331;0.00000782869452;0.00000329659
1900;0.52385424;0.00000781201776;0.00000484595
1901;0.24314532;0.00000654916543;0.00000229855
1902;0.04764684;0.00000458928122;0.00000045316
1903;0.03016746;0.00000305972015;0.00000028545
1904;0.02212492;0.00000214742801;0.00000020808
1905;0.02260563;0.00000155376294;0.00000021121
1906;0.02026532;0.00000114628648;0.00000018811
1907;0.01735493;0.00000087538026;0.00000016002
