t;sucrose_input_rate
1044;2.63776855804672e-10
1045;1.65855177982447e-10
1046;1.16045845089418e-10
1047;8.1726903967023e-11
1048;5.9060563501289e-11
1049;4.34477128173522e-11
1050;3.3023180856272e-11
1051;2.62128090094612e-11
1052;2.17554461571464e-11
1053;1.8855170112683e-11
1054;1.66750257446093e-11
1055;1.55286281111533e-11
1056;1.47894656395739e-11
1057;9.21612968704258e-11
1058;1.57638680424713e-10
1059;2.00419898094963e-10
1060;2.29202183889467e-10
1061;2.4684754054715e-10
1062;2.57185138575826e-10
1063;2.6339508770429e-10
1064;2.67071893158779e-10
1065;2.69099194362119e-10
1066;2.70122404604551e-10
1067;2.70587523213282e-10
1068;2.70413192277074e-10
1069;1.64554656867621e-10
1070;1.11704055849368e-10
1071;7.79301969880644e-11
1072;5.47634394732504e-11
1073;4.05898651607781e-11
1074;3.10859301040112e-11
1075;2.50597148617954e-11
1076;2.12489398814061e-11
1077;1.8850387101885e-11
1078;1.73495472427225e-11
1079;1.64223313665247e-11
1080;1.58509749705196e-11
1081;1.03489115547675e-10
1082;1.57852273726619e-10
1083;2.04556466250959e-10
1084;2.32731307936768e-10
1085;2.49356077294872e-10
1086;2.58625797477438e-10
1087;2.63696123337996e-10
1088;2.66286911247663e-10
1089;2.67504597569672e-10
1090;2.67942590015635e-10
1091;2.6799856968874e-10
1092;2.67751305352474e-10
1093;1.68302541647069e-10
1094;1.11905717853144e-10
1095;7.64814293489056e-11
1096;5.37942107116171e-11
1097;3.98801402238455e-11
1098;3.14220950742246e-11
1099;2.62224991376522e-11
1100;2.30347405448249e-11
1101;2.10581825542987e-11
1102;1.98450212057594e-11
1103;1.90798933144944e-11
1104;1.86200306092559e-11
1105;9.81415775549518e-11
1106;1.71270179438108e-10
1107;2.14893157936524e-10
1108;2.39426537564677e-10
1109;2.52982909817805e-10
1110;2.60143889929246e-10
1111;2.63991220066478e-10
1112;2.65844109658009e-10
1113;2.66581974946316e-10
1114;2.67093621832066e-10
1115;2.6693144652924e-10
1116;2.70413438110938e-10
1117;1.6533562868116e-10
1118;1.08257886260536e-10
1119;7.28406668977309e-11
1120;5.1981815363148e-11
1121;3.96675072504612e-11
1122;3.24511452714822e-11
1123;2.81295113160787e-11
1124;2.55414649589415e-11
1125;2.40263437435149e-11
1126;2.31385605724374e-11
1127;2.25804902246939e-11
1128;2.22258923915214e-11
1129;1.09716940793875e-10
1130;1.8386534102214e-10
1131;2.25876083937808e-10
1132;2.47846531761005e-10
1133;2.59866157301664e-10
1134;2.66460256867439e-10
1135;2.6980331811993e-10
1136;2.71277735760032e-10
1137;2.71640165023129e-10
1138;2.71478768609334e-10
1139;2.71185066106387e-10
1140;2.7072313297669e-10
1141;1.59774958289128e-10
1142;1.02217387381347e-10
1143;6.84752463780552e-11
1144;4.83065352712658e-11
1145;3.68230142678442e-11
1146;3.03336114276243e-11
1147;2.66039246917875e-11
1148;2.44423370485236e-11
1149;2.36567358168138e-11
1150;2.28086171816614e-11
1151;2.23279388059458e-11
1152;2.20785690382342e-11
1153;1.15151282914022e-10
1154;1.90101211824373e-10
1155;2.30570398899097e-10
1156;2.51249638746799e-10
1157;2.61652221901417e-10
1158;2.6703615024035e-10
1159;2.69768275350542e-10
1160;2.71248003422691e-10
1161;2.71569180684948e-10
1162;2.71444564686481e-10
1163;2.71210161420605e-10
1164;2.70843164161287e-10
1165;1.55391288725978e-10
1166;9.6794339608129e-11
1167;6.32124247628605e-11
1168;4.48441455334679e-11
1169;3.4820472007289e-11
1170;2.92102898373092e-11
1171;2.60933159942102e-11
1172;2.43280965949418e-11
1173;2.33245925945146e-11
1174;2.28017410363605e-11
1175;2.25483444324878e-11
1176;2.2386534963018e-11
1177;1.23005039817794e-10
1178;2.00083187082727e-10
1179;2.39727955880323e-10
1180;2.59381946924744e-10
1181;2.68816552941232e-10
1182;2.73709884696892e-10
1183;2.76017794391573e-10
1184;2.77468800649981e-10
1185;2.77424726048808e-10
1186;2.77260504400352e-10
1187;2.77028796732328e-10
1188;2.76678022395477e-10
1189;1.53960342838572e-10
1190;9.02664920871458e-11
1191;5.5104510131905e-11
1192;3.63131956855609e-11
1193;2.65393268776694e-11
1194;2.1324041097348e-11
1195;1.84029954412674e-11
1196;1.66864373027462e-11
1197;1.56493917030782e-11
1198;1.4970886990705e-11
1199;1.4598861168903e-11
1200;1.43172966207254e-11
1201;1.19010601955167e-10
1202;1.97555396222492e-10
1203;2.36254629852274e-10
1204;2.54720485576285e-10
1205;2.62911718683101e-10
1206;2.66787816879901e-10
1207;2.68345748521849e-10
1208;2.68934679298425e-10
1209;2.68902937238356e-10
1210;2.68484225220037e-10
1211;2.67947724505078e-10
1212;2.6741063582749e-10
1213;1.42844660875677e-10
1214;8.07600799788836e-11
1215;5.55933074662689e-11
1216;4.23653272423620e-11
1217;3.51004445870069e-11
1218;3.10106895828547e-11
1219;2.90985839425035e-11
1220;2.73417108008495e-11
1221;2.62103388776152e-11
1222;2.55076587020363e-11
1223;2.50123734620557e-11
1224;2.4536852146347e-11
1225;1.34987678078098e-10
1226;2.13325929283539e-10
1227;2.50993798183366e-10
1228;2.68115614719741e-10
1229;2.75751479424001e-10
1230;2.78965893743902e-10
1231;2.80279890351827e-10
1232;2.80275297901899e-10
1233;2.80038711056212e-10
1234;2.7963248752808e-10
1235;2.79184836946306e-10
1236;2.80085595939833e-10
1237;1.47219972612637e-10
1238;8.42764346788958e-11
1239;5.28400855223503e-11
1240;3.66517982706708e-11
1241;2.83095240245253e-11
1242;2.40177145633411e-11
1243;2.15544254541782e-11
1244;2.00623273686854e-11
1245;1.91152177333783e-11
1246;1.84509395650611e-11
1247;1.79378104113036e-11
1248;1.75231939894022e-11
1249;1.3456489142525e-10
1250;2.15487985736199e-10
1251;2.52763542054592e-10
1252;2.6912756881252e-10
1253;2.69644589423511e-10
1254;2.68311714533575e-10
1255;2.67671770982321e-10
1256;2.67602668100949e-10
1257;2.66686532663737e-10
1258;2.67076674301882e-10
1259;2.66235403831619e-10
1260;2.65543623802767e-10
1261;1.28336594101723e-10
1262;6.34105149185678e-11
1263;3.0927197876982e-11
1264;1.49564351182545e-11
1265;6.99713825968364e-12
1266;2.91403277442281e-12
1267;7.37590627460042e-13
1268;-4.72446323767781e-13
1269;-1.18422062721236e-12
1270;-1.61507650550037e-12
1271;-1.94431672126793e-12
1272;-2.12811452569669e-12
1273;1.20504199943534e-10
1274;2.04094093459664e-10
1275;2.4322909813272e-10
1276;2.59697118262121e-10
1277;2.65329585166119e-10
1278;2.67097105805876e-10
1279;2.68432492585511e-10
1280;2.7125348305209e-10
1281;2.73025153639519e-10
1282;2.73573856309201e-10
1283;2.73614103282602e-10
1284;2.73588439642043e-10
1285;1.28104497021136e-10
1286;6.23302540728714e-11
1287;2.81946249211816e-11
1288;1.16573122705561e-11
1289;3.38979542890669e-12
1290;-7.5091253442674e-13
1291;-2.82636267071385e-12
1292;-3.93799511365357e-12
1293;-4.53533110906822e-12
1294;-4.90506766920734e-12
1295;-5.09889416362268e-12
1296;-5.20179752065487e-12
1297;1.21343795578471e-10
1298;2.08593063989054e-10
1299;2.47271627315637e-10
1300;2.63993893234851e-10
1301;2.71072305734249e-10
1302;2.73988411808758e-10
1303;2.7498733762788e-10
1304;2.753380812285e-10
1305;2.73832034683472e-10
1306;2.74080747921534e-10
1307;2.74072618036149e-10
1308;2.74100579952469e-10
1309;1.26291937210371e-10
1310;5.80930619468057e-11
1311;2.47960388216636e-11
